0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.96665126,0.7423192,0.8652781,0.9004602,0.21725225,0.5732697,0.45910648,0.5253001,0.57359505,0.45053178,0.47977048,0.4468166,0.44709918,0.4086085,0.33481967,0.31244364,0.28657976
0.64204645,0.7657056,0.7484262,0.69749784,0.25227308,0.5278694,0.4900368,0.49652833,0.4882,0.38169608,0.42508933,0.3982268,0.37575775,0.37855917,0.31714708,0.29283273,0.2586337
0.91232365,0.84207416,0.92806995,0.894032,0.33152595,0.66911584,0.5742046,0.61378086,0.6602168,0.5131512,0.550194,0.51078236,0.4804627,0.4738827,0.36016348,0.3338098,0.31568825
0.36095974,0.50467426,0.61192095,0.3498431,0.7049065,0.76362854,0.7189006,0.64166045,0.76215994,0.5863365,0.5424746,0.51826274,0.50154704,0.481034,0.3665838,0.35223812,0.32399154
0.82349604,0.8255073,0.92986506,0.7890939,0.59258217,0.83793217,0.75878286,0.75237185,0.83007556,0.6462091,0.6481696,0.5972286,0.5670732,0.5785405,0.41029903,0.38066474,0.35725817
0.54647976,0.6777982,0.7672146,0.52836555,0.80514395,0.88350755,0.85263425,0.7966205,0.854635,0.68037236,0.6506468,0.60628515,0.55226135,0.59227747,0.3870039,0.3568987,0.32721844
0.6737064,0.6904903,0.8117382,0.65395135,0.6530909,0.8740979,0.8883026,0.90893304,0.8355038,0.75993043,0.78080034,0.7318429,0.6714072,0.7377179,0.475579,0.4429465,0.41079962
0.81703395,0.79956895,0.86912614,0.75989527,0.38979584,0.69052726,0.5892528,0.5930067,0.71578974,0.5090396,0.5205553,0.48766795,0.48718342,0.46599114,0.36965936,0.34520876,0.3198773
0.31839588,0.4262549,0.5486514,0.33824453,0.6844622,0.7637208,0.7847222,0.7719938,0.7368623,0.7966338,0.73675406,0.6775316,0.63797444,0.71984607,0.44815567,0.43370914,0.41809252
0.556728,0.5849477,0.7095998,0.51933783,0.6531492,0.8181934,0.8593007,0.90977997,0.78742266,0.88988954,0.8774831,0.8220467,0.763414,0.82670385,0.5393283,0.5137633,0.49410957
0.4827863,0.5367529,0.63775396,0.44963732,0.59882873,0.75620204,0.8179259,0.8615219,0.72261924,0.88090456,0.8812814,0.83857447,0.78394395,0.84253573,0.5530799,0.52767843,0.50055957
0.46892378,0.4873709,0.5694277,0.421765,0.45427132,0.62403595,0.67797804,0.736917,0.5871219,0.80513877,0.84938246,0.86607754,0.8450204,0.7907321,0.66877466,0.6457147,0.6135519
0.4669588,0.5094507,0.640445,0.47800478,0.6006892,0.75599974,0.81130415,0.87793624,0.73776406,0.83979636,0.83554643,0.76566744,0.7031572,0.82022923,0.4992914,0.47748914,0.46579567
0.4190705,0.40545332,0.4889494,0.3497935,0.399755,0.5379878,0.5453084,0.58301747,0.522678,0.66502523,0.68194294,0.73769945,0.80243415,0.60804445,0.75195473,0.74504465,0.7124643
0.35139832,0.3696901,0.42762658,0.30872083,0.33912775,0.45184675,0.4777788,0.50760245,0.44355518,0.5482974,0.5713398,0.64127314,0.7037549,0.5140892,0.7540808,0.7912007,0.78183204
0.3031658,0.31866398,0.37649217,0.26253834,0.28610846,0.38943723,0.42396185,0.45827237,0.38140383,0.49459505,0.51684517,0.5830008,0.63534445,0.47429374,0.69866395,0.7657306,0.8152296
