0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9713903,0.9019509,0.65132403,0.5895406,0.56407267,0.5431027,0.4973141,0.39843306,0.35652882,0.29679433,0.25116068,0.22740968,0.23123899,0.23617558
0.92880243,0.9563788,0.6253495,0.5330622,0.5058586,0.50645703,0.47115666,0.38575584,0.34648913,0.28524125,0.2442802,0.22110938,0.22203152,0.22795603
0.7057879,0.6706934,0.9630047,0.90334994,0.8145284,0.78464234,0.68876785,0.59227353,0.5197511,0.44177538,0.38433096,0.3464602,0.34484467,0.34631544
0.60950017,0.5692565,0.9064753,0.9474093,0.8887163,0.8406688,0.74425346,0.65392524,0.5635169,0.46989092,0.41184437,0.3752288,0.36439258,0.35867894
0.5587942,0.5059559,0.822397,0.9018848,0.93628263,0.8949055,0.8162969,0.74117595,0.64921135,0.5466376,0.48941746,0.45000723,0.43502325,0.42110443
0.5375518,0.5018721,0.7769027,0.8505229,0.9033639,0.9132149,0.861023,0.79767936,0.70376843,0.59466827,0.5397605,0.4985438,0.47811133,0.45826566
0.48651585,0.44369826,0.6786132,0.76142645,0.83985037,0.8750697,0.89229417,0.8544578,0.77387816,0.66579854,0.6089335,0.5629954,0.53811187,0.5102288
0.4065438,0.3801701,0.5982868,0.6717261,0.76125646,0.80584526,0.8581102,0.8956648,0.8452063,0.7486492,0.6919914,0.64467543,0.60883546,0.56959707
0.32204223,0.29997924,0.4984709,0.57163376,0.66864115,0.72069246,0.7895444,0.85996175,0.8561176,0.80424833,0.7605949,0.6911174,0.6490188,0.60293776
0.28256458,0.26684704,0.41792834,0.4754244,0.56861705,0.6195052,0.7017859,0.7977638,0.84677315,0.8414996,0.81174153,0.72402275,0.6837828,0.63146216
0.23864725,0.22760132,0.3429498,0.38820615,0.4661796,0.5155534,0.59680164,0.7073165,0.7826981,0.8134911,0.8143942,0.7393922,0.70015216,0.63440627
0.22944301,0.2178261,0.3286408,0.3706799,0.44725752,0.49356487,0.57404155,0.6673008,0.72124815,0.75379944,0.8010283,0.8337853,0.8107779,0.73887193
0.25104398,0.23888244,0.35799417,0.39325383,0.463461,0.5133883,0.5934275,0.658311,0.7065082,0.7402139,0.8136719,0.8986384,0.92283404,0.89284694
0.2593199,0.24494615,0.36413077,0.3911085,0.45039308,0.49157202,0.56149656,0.60851103,0.64704555,0.6739091,0.7514353,0.8342563,0.89294857,0.9288438
