0,1,2,3,4,5,6
0.9929187,0.7898715,0.7278558,0.5535261,0.49763283,0.33169252,0.30049524
0.81253195,0.9515538,0.9212832,0.7054858,0.59614205,0.39482838,0.35674426
0.80511904,0.9352211,0.95101553,0.7647463,0.6475848,0.42241845,0.38461205
0.5665894,0.6487735,0.830548,0.9665785,0.8192252,0.5085653,0.49266115
0.5076873,0.55980164,0.71956384,0.8546631,0.930584,0.62712955,0.61079186
0.34103996,0.373584,0.45976838,0.55488366,0.69475174,0.8219709,0.8540398
0.32975245,0.3595376,0.44367737,0.5390217,0.6773294,0.8161924,0.8584172
