0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.92812645,0.8330932,0.5953235,0.5414469,0.5189574,0.47319698,0.44592357,0.36860052,0.3336479,0.3224578,0.27671054,0.22788617,0.2148469,0.20204279
0.9325332,0.89548945,0.60623974,0.53240377,0.53175676,0.48330998,0.4554775,0.37140077,0.33046496,0.3136132,0.27512953,0.2311328,0.22006942,0.21108662
0.68200344,0.650071,0.9543707,0.8910262,0.77353305,0.73920465,0.67447233,0.5484294,0.47961584,0.43246886,0.37671918,0.32680818,0.31515035,0.3110234
0.62275594,0.5803136,0.92729187,0.9510547,0.85260904,0.8108317,0.73794657,0.61864483,0.54077786,0.4815667,0.42364427,0.3669726,0.3561255,0.35756597
0.5882412,0.5681235,0.7922989,0.88794017,0.9378413,0.8853117,0.8048982,0.7128098,0.62800044,0.55366665,0.4987463,0.4399941,0.433646,0.43762517
0.52322656,0.5023,0.75046575,0.8449979,0.9098681,0.90511024,0.81838566,0.73088413,0.6405347,0.55474454,0.5046328,0.44938543,0.44286555,0.44624785
0.51427627,0.48769262,0.69680625,0.7996269,0.86740273,0.8688559,0.8585147,0.80155575,0.71728534,0.62784237,0.57581127,0.51870894,0.49630198,0.48132274
0.41095743,0.39553317,0.5795832,0.6808237,0.772373,0.7929146,0.8234795,0.854345,0.79889095,0.708066,0.658735,0.6016255,0.5721434,0.55172765
0.38290685,0.36872378,0.51256806,0.59819597,0.6917808,0.7214422,0.78746474,0.8439551,0.82445323,0.75421464,0.7123293,0.65348816,0.6134846,0.57890356
0.34394756,0.3260231,0.43856078,0.5073855,0.60843956,0.6297291,0.7059296,0.7884946,0.808847,0.7815288,0.76038235,0.69350046,0.6508977,0.6065662
0.31803057,0.2964668,0.38529605,0.44017756,0.5423395,0.56919616,0.63297117,0.7224576,0.7638326,0.76892793,0.7846712,0.7158026,0.6712229,0.62029296
0.30939546,0.2880865,0.37505892,0.42490616,0.5172175,0.54987466,0.6068991,0.6789571,0.7144197,0.7203017,0.76836854,0.7636639,0.7362902,0.67412144
0.3209083,0.3089198,0.37830174,0.42902437,0.51996243,0.5564944,0.6124342,0.6605129,0.68409044,0.67625374,0.73236006,0.8115797,0.8291717,0.79869026
0.30427194,0.29994214,0.35064536,0.40572238,0.4939823,0.5235996,0.56407815,0.6014613,0.61251265,0.5981677,0.64945936,0.7390681,0.7958038,0.8361995
