0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.85841423,0.7662011,0.5985821,0.51279473,0.4594575,0.43971565,0.41420314,0.32945314,0.27958485,0.23087506,0.1753871,0.19659393,0.20521729,0.21451189
0.66433686,0.645094,0.89174587,0.8684102,0.80326617,0.77059305,0.7260385,0.63433224,0.58310694,0.4942015,0.42499658,0.41707247,0.38604572,0.3729306
0.45622325,0.44277602,0.68220806,0.803562,0.8387863,0.85174084,0.83556014,0.812607,0.76023185,0.6856872,0.60263276,0.5978061,0.56447154,0.53760004
0.34027076,0.32414788,0.49447632,0.5956526,0.68306977,0.72116524,0.7626214,0.82297724,0.8281734,0.79354095,0.72906077,0.74061316,0.6946715,0.648069
0.29812652,0.27312547,0.4043378,0.4920197,0.57683027,0.59882027,0.64601153,0.7151806,0.7375596,0.7419475,0.72767824,0.80735224,0.8015614,0.770889
0.31374526,0.2842887,0.38724813,0.4624882,0.5336434,0.5545055,0.6004766,0.6521274,0.6649727,0.67184114,0.6786673,0.78563017,0.8134757,0.8203941
