0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.9399194,0.90321946,0.8155153,0.71712196,0.67929244,0.5945923,0.57104844,0.5766226,0.5565788,0.52273613,0.50655836,0.47189608,0.40984696,0.35501403,0.33974537,0.2625481,0.23360442,0.22381225,0.21785435
0.92938673,0.92281437,0.8700402,0.7869263,0.7562528,0.6717282,0.6456389,0.64637256,0.62656283,0.5871857,0.56757325,0.52788526,0.46175689,0.3986506,0.38007975,0.2885831,0.25499344,0.24391995,0.2386291
0.89693683,0.910745,0.8701919,0.7939566,0.7641241,0.68096536,0.65760595,0.65645087,0.6370594,0.59544665,0.5785092,0.5419986,0.47485858,0.4114159,0.39134327,0.30529103,0.27076662,0.2594214,0.25462064
0.8773399,0.9065932,0.884404,0.82242745,0.79467195,0.71627945,0.70194733,0.6936072,0.67541987,0.6312601,0.6155587,0.5775671,0.5037319,0.4337531,0.4068999,0.3174904,0.28103694,0.27018705,0.26484835
0.85347295,0.8988232,0.8973201,0.8541279,0.8345805,0.757087,0.7564646,0.7427258,0.7198902,0.67166275,0.6524245,0.6107898,0.5366207,0.45792672,0.4343865,0.33119014,0.2876997,0.27169362,0.26746348
0.7167228,0.802745,0.8655871,0.9116651,0.91908187,0.8858015,0.8752411,0.84877896,0.8193245,0.76868725,0.74690247,0.69461757,0.62118196,0.5244374,0.48131704,0.36197963,0.3129585,0.29117575,0.28853714
0.71446216,0.78884,0.851399,0.8985524,0.9131993,0.91192174,0.9186134,0.90109897,0.8753204,0.8365601,0.81117874,0.75762665,0.6892542,0.5826994,0.53458995,0.412046,0.34879783,0.3207093,0.3255799
0.6991233,0.7767596,0.84413826,0.88977754,0.9093539,0.9155277,0.93135107,0.9209295,0.89773536,0.86653554,0.84133005,0.79086375,0.7198629,0.6133113,0.5619606,0.4286259,0.359399,0.33054796,0.33567166
0.6726915,0.75086474,0.8242658,0.87306976,0.8969224,0.9113673,0.93764424,0.9311838,0.9123938,0.88582253,0.8631338,0.81660247,0.7491656,0.6393738,0.5835974,0.4435728,0.37020737,0.3417159,0.3487735
0.653945,0.7229392,0.79012287,0.8264316,0.8561072,0.8755262,0.9193499,0.92504823,0.9134108,0.8945353,0.8749961,0.8393042,0.7664044,0.65803593,0.5949723,0.44682726,0.36755708,0.34054878,0.34701568
0.62943536,0.69860584,0.7671044,0.80242026,0.8329688,0.86257166,0.9117273,0.9244941,0.92016417,0.90762335,0.89398605,0.8682189,0.8028877,0.69630265,0.6262976,0.4823252,0.39154977,0.36272946,0.36922774
0.6081429,0.6756246,0.7464115,0.77707684,0.8057363,0.8387976,0.8943085,0.9113297,0.91153365,0.9093693,0.90269196,0.88581973,0.8292497,0.72546864,0.6572199,0.5084054,0.41217825,0.38116154,0.3840645
0.5642341,0.6303516,0.7056054,0.74047554,0.76093614,0.7888267,0.8622441,0.8816356,0.8894398,0.89442265,0.8929851,0.88332874,0.88098,0.7964479,0.7265245,0.58587134,0.47669002,0.44077048,0.4436733
0.5116232,0.5744117,0.6442289,0.6750088,0.6891238,0.7136466,0.7808131,0.80115473,0.82556397,0.83755416,0.8429152,0.8434162,0.8727949,0.8268161,0.7893731,0.6599152,0.542773,0.5081348,0.512599
0.43663475,0.49216616,0.54870236,0.57816756,0.5899355,0.61482614,0.6742381,0.69688374,0.7305064,0.74600303,0.75622326,0.76175416,0.8217896,0.8098323,0.808403,0.7105759,0.5973816,0.55816835,0.5657559
0.36757702,0.42043436,0.47286978,0.49842557,0.5057478,0.529266,0.57436454,0.5994543,0.63255996,0.6472725,0.6629738,0.6747524,0.7488904,0.7690149,0.80182415,0.7482376,0.6419678,0.5997354,0.6081479
0.32574135,0.370129,0.41370028,0.4323745,0.4378536,0.45575,0.4884873,0.5093224,0.53839165,0.554962,0.5741932,0.5853993,0.6696545,0.70123136,0.74914676,0.76523787,0.6943505,0.6407592,0.6512952
0.284601,0.32538715,0.36363864,0.38211903,0.38914138,0.40591395,0.4429539,0.46554306,0.489176,0.49986705,0.51901203,0.52907914,0.6102902,0.64853233,0.6982505,0.73001426,0.72664374,0.69528884,0.7132601
0.2724567,0.3083749,0.3425008,0.3636333,0.37283555,0.39587927,0.4365579,0.46163115,0.4850829,0.4954878,0.510724,0.5156121,0.60030556,0.63529545,0.67502326,0.7111938,0.7086238,0.67057365,0.7249428
