0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.9725345,0.94903034,0.8736503,0.77875876,0.7121005,0.6349725,0.614347,0.63221115,0.6325846,0.6157684,0.6095118,0.5963665,0.55686396,0.49491397,0.43730313,0.3296887,0.2764198,0.26709586,0.2580536
0.9591317,0.9582142,0.900157,0.82302845,0.76447636,0.69347936,0.6697139,0.6807682,0.6804579,0.6639882,0.6587106,0.64317614,0.60723984,0.54598343,0.48128405,0.36227918,0.2970371,0.28395525,0.2742699
0.9229283,0.9528992,0.93948466,0.8824566,0.8347528,0.77461135,0.7487331,0.7524135,0.74966043,0.7294989,0.72568524,0.7100292,0.67155534,0.6047066,0.52874243,0.39796975,0.32539797,0.30787522,0.29680136
0.864392,0.9172274,0.94702077,0.91949403,0.88540876,0.83944,0.8200133,0.81465846,0.80931765,0.78884095,0.78280026,0.7656951,0.7222429,0.6410834,0.5556646,0.41785023,0.3413429,0.32169184,0.31012505
0.8065809,0.877061,0.9347774,0.94101125,0.92615134,0.8865616,0.87979394,0.8659066,0.85795456,0.8310574,0.8212394,0.8009019,0.74491453,0.64726335,0.56224525,0.43026504,0.35713148,0.33543423,0.32571426
0.63766,0.7309021,0.8313103,0.9264699,0.9519461,0.9471939,0.9252205,0.8898763,0.87427235,0.8451189,0.8297633,0.8116952,0.73829925,0.63768893,0.5329179,0.4054268,0.34143206,0.32338193,0.31398854
0.69898814,0.7839938,0.8669641,0.93446654,0.95323807,0.9537165,0.9600789,0.93968767,0.92769134,0.90482235,0.8881522,0.86814046,0.8143782,0.70485705,0.60416687,0.4695716,0.39322394,0.36756736,0.36207077
0.6843293,0.7717475,0.8527248,0.91717255,0.9389243,0.94480425,0.9665391,0.95369434,0.9470087,0.9291647,0.9127274,0.89270484,0.83576804,0.72596204,0.6198004,0.47603756,0.39935982,0.37382874,0.36847228
0.65351015,0.7424126,0.8258714,0.8857202,0.9128032,0.9249268,0.96024585,0.9560065,0.9515389,0.9381678,0.92438805,0.90524817,0.8522353,0.7408296,0.6377847,0.49394763,0.4133483,0.38761455,0.38280958
0.65385026,0.73388076,0.80695087,0.8561988,0.8804683,0.8901173,0.946912,0.95265967,0.95235336,0.940303,0.93027675,0.9110176,0.860669,0.75154823,0.6497667,0.50115293,0.41652918,0.390522,0.3873299
0.63373554,0.71295655,0.7908424,0.8377493,0.86047715,0.875577,0.9350534,0.94302166,0.94732887,0.9423195,0.93753815,0.92519516,0.8783607,0.77912086,0.67501813,0.5289642,0.43804124,0.410552,0.40374348
0.6264752,0.7041566,0.7800268,0.82183987,0.8411381,0.8543393,0.90592587,0.9133058,0.922593,0.9273221,0.93020004,0.92939365,0.88883805,0.80082417,0.698744,0.56413406,0.46936485,0.4366069,0.42828447
0.5431217,0.62181145,0.7008784,0.7485029,0.7728322,0.7995305,0.8731511,0.88535,0.8953704,0.91066444,0.9147865,0.91544586,0.9234392,0.85762954,0.7566999,0.6304911,0.52940685,0.4842974,0.4920569
0.49510726,0.5584092,0.62196875,0.6570884,0.67369604,0.7053559,0.767784,0.78525347,0.8050667,0.8281538,0.83777255,0.8472862,0.887876,0.87920403,0.79768974,0.69275934,0.58620006,0.5371017,0.54456586
0.4486606,0.5019871,0.54857916,0.5778383,0.5881249,0.6155747,0.66848737,0.68638474,0.7074055,0.7344306,0.7482307,0.76302695,0.82408607,0.86367303,0.81926715,0.7473396,0.6472,0.59924936,0.60151577
0.3939982,0.4359205,0.46604657,0.47480476,0.47720096,0.48910058,0.5452783,0.5745956,0.5914893,0.6167922,0.6323009,0.64549625,0.7216036,0.78326815,0.80487764,0.79325914,0.71008617,0.659015,0.6673891
0.31132743,0.33886635,0.35624656,0.3702584,0.37438712,0.38789558,0.43339646,0.45668536,0.46645668,0.48792455,0.49991584,0.51372826,0.59893763,0.6654414,0.7164104,0.7672869,0.75094277,0.70886815,0.7019557
0.26592448,0.29105255,0.3027982,0.31518376,0.3201232,0.33177373,0.3804159,0.40642592,0.42434102,0.44772428,0.46160138,0.47946098,0.5552548,0.6302506,0.68042433,0.74188507,0.82416815,0.8372897,0.82383996
0.2667522,0.2886731,0.29818746,0.3112916,0.31552097,0.3293746,0.37713116,0.4024731,0.41964084,0.44357282,0.45396936,0.46845564,0.55221313,0.6293219,0.67336726,0.7396275,0.8287207,0.83232296,0.8734222
