0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9556567,0.7169289,0.82744235,0.24950646,0.5646535,0.3867992,0.5128807,0.5387733,0.4016875,0.47844797,0.41094002,0.38157654,0.42248714,0.3029938,0.3087904,0.30579093
0.6874973,0.6270782,0.7132207,0.24505058,0.4950897,0.39868605,0.4897225,0.43353987,0.40332836,0.46396744,0.3855883,0.37174532,0.39195052,0.3131749,0.30493882,0.2880571
0.9329154,0.77183604,0.87435704,0.31609184,0.6364294,0.4462434,0.56211996,0.6211816,0.4294082,0.5177252,0.4577434,0.42152524,0.4587719,0.34176466,0.34283814,0.34268892
0.53405505,0.6248614,0.71006787,0.68892294,0.8011449,0.7171135,0.7022157,0.8029567,0.5580683,0.6216673,0.55588883,0.506352,0.5918439,0.38489154,0.35030264,0.32242572
0.7889529,0.7578991,0.8914138,0.6583505,0.8768038,0.73652357,0.7808321,0.8748317,0.5989343,0.6747872,0.6065805,0.545022,0.6240522,0.4032652,0.3904214,0.37645307
0.41201377,0.5728979,0.6521144,0.8641525,0.89845604,0.8799906,0.780342,0.8977835,0.63717747,0.6771278,0.64113677,0.55556095,0.6370901,0.3951543,0.36935174,0.34142888
0.65172446,0.7135933,0.84942245,0.6615197,0.90307444,0.8720045,0.90052795,0.8620778,0.73228365,0.79739255,0.7510066,0.6715133,0.7324081,0.4683242,0.446387,0.42195952
0.9089045,0.6530004,0.8355048,0.3676842,0.6463237,0.5026714,0.6395683,0.64260596,0.48786134,0.55765814,0.48896194,0.44776395,0.5082124,0.32821855,0.31978855,0.3148982
0.21906973,0.35648298,0.4594863,0.5833971,0.6268416,0.7527371,0.7595715,0.57255626,0.80618054,0.7644283,0.70077497,0.6511217,0.7697246,0.449872,0.40824434,0.38664705
0.51460314,0.58808243,0.72248596,0.6308956,0.8156957,0.8615497,0.9057686,0.7638735,0.84858567,0.87989277,0.83421916,0.76250815,0.8312974,0.52249867,0.48583552,0.46809742
0.39621174,0.46097466,0.60270876,0.608708,0.7106775,0.7975981,0.871961,0.6682631,0.87775797,0.8806525,0.8406111,0.7813073,0.86659336,0.5308085,0.48812258,0.47265434
0.43729055,0.52552223,0.6284756,0.50359523,0.68944395,0.7197736,0.83047545,0.65265626,0.8088256,0.85471654,0.8483013,0.8355596,0.8033099,0.62373245,0.5949806,0.58305526
0.44665775,0.527317,0.63447547,0.60715103,0.7669978,0.7760772,0.8081615,0.7620959,0.74925196,0.7838028,0.74912804,0.69123507,0.7688477,0.46399504,0.4377871,0.4315087
0.33643454,0.42732343,0.45691776,0.2984044,0.45686328,0.4921916,0.56738937,0.41027683,0.63750625,0.6807605,0.7409996,0.78630483,0.59704345,0.7548744,0.73532456,0.7182959
0.35937864,0.4418948,0.48134536,0.29371753,0.46701732,0.47810793,0.55208874,0.42539412,0.5833271,0.6295672,0.6811186,0.74168795,0.547708,0.7643196,0.7906512,0.79030985
0.34564197,0.42105606,0.4499362,0.25924575,0.42516762,0.42761892,0.5006866,0.39439762,0.5382628,0.5770495,0.61790484,0.68175113,0.51647663,0.7056041,0.76530564,0.82653445
