0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9675986,0.8965464,0.6550528,0.59284526,0.54838884,0.5270407,0.48824996,0.4125176,0.36104,0.31019047,0.265005,0.25563172,0.24531314,0.25093257
0.9300214,0.90391904,0.6042954,0.52915365,0.49179557,0.47743055,0.45205322,0.3824033,0.33523104,0.28934354,0.25356627,0.24124707,0.22950296,0.2330146
0.6837406,0.64174026,0.9539227,0.8853797,0.75401676,0.70177084,0.6525927,0.5472923,0.46914175,0.39262924,0.3382313,0.3359124,0.3229181,0.32654783
0.6018852,0.55615944,0.9297097,0.93287724,0.8236939,0.76656187,0.7099424,0.6095926,0.5224224,0.4432015,0.38934764,0.37248206,0.35559455,0.35823372
0.5953558,0.55249107,0.8425747,0.9134562,0.9145811,0.8612883,0.78982025,0.71398765,0.6252849,0.53739405,0.4755092,0.44528478,0.41938722,0.41988707
0.56549966,0.53069323,0.78361374,0.8682967,0.89403576,0.88468015,0.8267403,0.761691,0.6732072,0.57760286,0.5047865,0.47986093,0.45206735,0.45289904
0.5296523,0.49754685,0.7287838,0.82871145,0.8644354,0.8804707,0.8304975,0.78056735,0.700685,0.60293746,0.5250902,0.49047264,0.46063837,0.46483672
0.5115944,0.4739345,0.7214679,0.8098598,0.8275449,0.8495767,0.84348047,0.7895818,0.71848273,0.62297785,0.5405543,0.51267356,0.48679295,0.4861697
0.47092405,0.43358123,0.65235937,0.75926363,0.79973394,0.82541466,0.83905214,0.8368554,0.7849334,0.7051813,0.62602866,0.5908776,0.5615083,0.555448
0.45829633,0.42797068,0.6019011,0.6965107,0.7499511,0.78300834,0.80543184,0.8271471,0.80012107,0.74056983,0.67318714,0.6294867,0.59358776,0.5763762
0.4284408,0.40151992,0.5488392,0.63147074,0.6847845,0.7172529,0.7595242,0.7904655,0.793346,0.7587677,0.7026517,0.66424406,0.6259721,0.5921662
0.36114883,0.33801007,0.47688892,0.5396693,0.5903817,0.6228907,0.68350834,0.7289623,0.753684,0.74684525,0.70873535,0.68541205,0.643981,0.6026769
0.3291031,0.29700127,0.42886585,0.48114356,0.53148603,0.5548748,0.6344751,0.6787818,0.72121346,0.74402845,0.7333154,0.7198934,0.68965405,0.65058625
0.30713987,0.27565485,0.3841986,0.43654764,0.4880576,0.50589436,0.58958507,0.63774776,0.6805963,0.71234745,0.73008686,0.7312217,0.7105057,0.6703624
0.26846462,0.23278762,0.34686694,0.40475398,0.46099654,0.49008277,0.57111424,0.6243421,0.6631901,0.6829625,0.70677996,0.75187373,0.7422127,0.701978
0.28558418,0.2496641,0.3798796,0.43608394,0.49475953,0.5211586,0.59284705,0.65178597,0.68840843,0.7022225,0.7309377,0.81624806,0.8359596,0.82925045
0.2842621,0.2549519,0.375029,0.42335695,0.47852555,0.50321406,0.555193,0.598495,0.61800665,0.62009203,0.6475301,0.7419497,0.788649,0.84487474
