0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9148373,0.8445302,0.9255645,0.33829308,0.66638076,0.5714546,0.64502597,0.6142012,0.50153345,0.5277859,0.47683987,0.4455431,0.45547932,0.29536623,0.2803695,0.24671295
0.89868504,0.8805798,0.9518782,0.36723077,0.701618,0.6113393,0.67858547,0.6386848,0.51260203,0.55440456,0.50286394,0.46689534,0.47379068,0.31412092,0.2918654,0.25433797
0.89873415,0.8748586,0.95501715,0.38579282,0.71765214,0.6289701,0.69160753,0.6588873,0.5232566,0.5658937,0.5091717,0.4725646,0.49186778,0.31681523,0.29639438,0.26061904
0.46792588,0.60241014,0.7306,0.8878018,0.967811,0.94073886,0.8698413,0.96096206,0.7199351,0.7332437,0.6405654,0.57488525,0.7214348,0.38395593,0.34459728,0.3197511
0.45692685,0.60867643,0.7318476,0.8854746,0.9716233,0.9507103,0.8796661,0.9611188,0.729465,0.74487543,0.65588313,0.58569884,0.7340835,0.39550817,0.3512836,0.32700092
0.43823802,0.6011344,0.71926266,0.8936363,0.96923125,0.95501244,0.892654,0.9582126,0.74753106,0.7613147,0.671297,0.60307777,0.74936414,0.413456,0.37059176,0.34386227
0.44046146,0.5993552,0.72216606,0.8880495,0.9679368,0.9552158,0.89700496,0.9587304,0.75499225,0.77417123,0.6850083,0.61524534,0.76116556,0.42162645,0.37660795,0.34975454
0.44953305,0.59680605,0.72320193,0.88664484,0.9674925,0.948268,0.8759498,0.96246856,0.72763616,0.74248147,0.65319014,0.5829763,0.73578274,0.39444828,0.34989074,0.3275302
0.42098823,0.5080625,0.63415486,0.61373997,0.75532854,0.824542,0.879817,0.70248264,0.90141183,0.93696064,0.86009234,0.80052525,0.9123473,0.55993783,0.51209766,0.48680043
0.43392944,0.5192158,0.644684,0.6240643,0.7671827,0.82820356,0.8819206,0.71539414,0.9031054,0.9462793,0.8737091,0.810125,0.9162403,0.5671013,0.5160399,0.49219972
0.41876683,0.50025886,0.62850004,0.6174549,0.75504434,0.8183245,0.8716976,0.70159286,0.8916711,0.94049937,0.8867297,0.8316904,0.91325945,0.5938186,0.5420455,0.51836264
0.41112372,0.50320905,0.62261754,0.6253222,0.7521572,0.80635184,0.85960954,0.7049808,0.8856724,0.92941123,0.88466614,0.8450093,0.9001846,0.6278172,0.57807183,0.55094594
0.4277362,0.51404166,0.6394451,0.62771183,0.76420206,0.82697976,0.8779086,0.7159252,0.900822,0.94401664,0.873495,0.80928504,0.91947496,0.56902206,0.5165093,0.49281263
0.26383474,0.35844263,0.39262608,0.3179787,0.43013075,0.48689002,0.54694086,0.38130027,0.5799399,0.6244885,0.6844779,0.7745973,0.5754741,0.8371132,0.8323001,0.8313506
0.25019094,0.34602368,0.3748481,0.29894167,0.41092414,0.46605253,0.5244191,0.35786197,0.5587994,0.60233796,0.6596871,0.75427,0.5533628,0.843103,0.8574471,0.8580167
0.24005744,0.33012933,0.35715485,0.2846073,0.3925408,0.44731036,0.5030718,0.34193426,0.5395285,0.58033884,0.6333305,0.7326042,0.5395995,0.82332027,0.8521099,0.87155175
