0,1,2,3,4,5,6
0.8805471,0.60716295,0.5684404,0.5102408,0.43392903,0.27768663,0.25515157
0.8484495,0.91098726,0.8402741,0.7111674,0.59212685,0.32348984,0.29945555
0.789529,0.9154943,0.92046875,0.8129038,0.6800386,0.3950219,0.385395
0.69763494,0.80534655,0.88633966,0.8927237,0.78146535,0.5101985,0.5044287
0.5884054,0.677885,0.7988107,0.8721716,0.85064334,0.6164518,0.6146717
0.3638811,0.39358523,0.51472104,0.62514484,0.7510212,0.7921575,0.7840368
0.32460406,0.3559888,0.4870103,0.594242,0.71390975,0.77158886,0.8194285
