0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.97977483,0.97845787,0.665269,0.6048193,0.58023196,0.56386614,0.49344218,0.41431105,0.34777156,0.30841744,0.304981,0.28010502,0.27068946,0.265885
0.97915494,0.98146456,0.6643682,0.6007188,0.57244796,0.55441576,0.48114297,0.39954144,0.33300203,0.29551792,0.2935793,0.26925594,0.25999182,0.25681686
0.65592325,0.6227198,0.9799395,0.9688736,0.85553133,0.8025444,0.698404,0.59922457,0.5158243,0.45189476,0.41349396,0.38758817,0.3800462,0.38177538
0.64503247,0.61515707,0.97362757,0.9789205,0.8722082,0.8196798,0.7155677,0.61331534,0.5250719,0.4560944,0.41581762,0.39255,0.3843401,0.38669655
0.5855298,0.55373776,0.77550566,0.8888866,0.96719307,0.9662218,0.8972613,0.81305414,0.7040266,0.60845995,0.5489392,0.52377,0.50934535,0.49679226
0.5764676,0.5422075,0.7660827,0.8779855,0.9583891,0.9700136,0.91851336,0.8380926,0.73136085,0.6322819,0.5664686,0.5368887,0.5203164,0.5061485
0.5704587,0.5321866,0.7579585,0.86974454,0.94986135,0.96464473,0.9285983,0.8537241,0.74829453,0.6472888,0.57835656,0.54693055,0.53113365,0.51861113
0.38754505,0.3533012,0.5369619,0.62817264,0.7163103,0.78394437,0.8769855,0.943587,0.92962533,0.8263746,0.722282,0.68110025,0.6498606,0.6085934
0.37692395,0.3406805,0.52353966,0.6118501,0.7005177,0.7686855,0.86217564,0.93538046,0.9363146,0.8472996,0.75472164,0.7058039,0.6729436,0.6328817
0.32948017,0.2949705,0.42037296,0.4789661,0.5510891,0.6128452,0.7038036,0.78952414,0.85728663,0.9251262,0.92170566,0.8281236,0.7821326,0.72444105
0.30892453,0.27667567,0.40066716,0.45877823,0.5312586,0.58791775,0.6741949,0.76082486,0.8317895,0.9113239,0.9296005,0.8487321,0.80911565,0.748426
0.28720945,0.26329908,0.3732384,0.42471954,0.48686057,0.5264419,0.6038849,0.6566931,0.6979009,0.74461746,0.8236737,0.9323312,0.9622179,0.93614554
0.27403423,0.25179452,0.36189735,0.41156897,0.4713822,0.5129342,0.59366626,0.64601135,0.68803096,0.7358633,0.81462234,0.931471,0.96987027,0.94407135
0.26700807,0.24541728,0.35284454,0.39984617,0.45717287,0.49665082,0.57262796,0.6228539,0.66343325,0.71128803,0.7923818,0.9102502,0.9626492,0.9526818
