0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.96468955,0.97933584,0.9578917,0.8905106,0.8405276,0.77865595,0.7297669,0.7324232,0.72415453,0.7148757,0.6957937,0.6743669,0.62075216,0.54651886,0.45953792,0.32342353,0.25531957,0.2526488,0.2367559
0.9615061,0.9803408,0.9641882,0.89672834,0.8468195,0.78594166,0.73801535,0.7408038,0.73288816,0.7239838,0.7048826,0.6838233,0.6305824,0.55313045,0.46377882,0.32712546,0.25898263,0.2568268,0.24008535
0.95795447,0.9790107,0.9681054,0.90493596,0.8571419,0.7990285,0.7524076,0.7549736,0.74651045,0.736437,0.7169433,0.6952796,0.6414363,0.56182045,0.47129673,0.33646765,0.26662117,0.26221672,0.24587475
0.79750067,0.8674517,0.9407412,0.9847512,0.98457956,0.9686651,0.9179421,0.8931733,0.87364876,0.8461815,0.81917524,0.7952187,0.73551416,0.6323421,0.52512735,0.38883498,0.3073985,0.28897274,0.26953468
0.78815097,0.85961854,0.9376244,0.9849491,0.98806036,0.97367424,0.9254613,0.9016154,0.88133186,0.8545369,0.82808214,0.80523235,0.7440051,0.6384749,0.53040135,0.39289,0.31149662,0.2928473,0.27285492
0.7716397,0.8455873,0.92699534,0.98082995,0.98848283,0.9799685,0.9354847,0.9116146,0.8915582,0.8647184,0.8381767,0.8154944,0.7563412,0.64945036,0.5396457,0.4026563,0.31993222,0.2999602,0.2813612
0.71078515,0.7807444,0.84819114,0.9041905,0.9253305,0.93836856,0.9757673,0.97583115,0.9713982,0.9564961,0.94082564,0.92159826,0.8588138,0.75628704,0.64554095,0.4916164,0.38149983,0.35788256,0.35211933
0.6987986,0.7684648,0.83447814,0.8901969,0.9114821,0.9276918,0.9699171,0.9770835,0.97798306,0.96787673,0.9559623,0.94037694,0.87721777,0.7804376,0.66891855,0.51352024,0.400184,0.3758658,0.37031108
0.68059635,0.7524069,0.822243,0.88137054,0.9038968,0.9221963,0.96465605,0.9740696,0.9777658,0.9706198,0.96034527,0.94624317,0.8846093,0.7898655,0.6797511,0.52396226,0.41135398,0.38504678,0.37959352
0.66790044,0.74120545,0.8126362,0.87308013,0.89587057,0.91522807,0.95809615,0.968714,0.97463053,0.97026926,0.96210176,0.9504909,0.893644,0.80354863,0.6933114,0.53708524,0.42295504,0.3958082,0.3889592
0.6629911,0.73656476,0.81021047,0.8715703,0.89423907,0.91367936,0.95489866,0.9648071,0.9709977,0.96697956,0.9594892,0.9505706,0.90159863,0.81246364,0.70327985,0.5454756,0.42882997,0.40204746,0.39428568
0.59694,0.66968185,0.7402459,0.79128987,0.8111367,0.8333038,0.8852573,0.9021015,0.9199958,0.9333773,0.93644094,0.9396453,0.9448662,0.8646279,0.75320804,0.601483,0.47467294,0.4426288,0.43992916
0.56633,0.63733685,0.7007645,0.7483255,0.7658251,0.787524,0.84038943,0.85746235,0.8770985,0.8946465,0.9029733,0.91119057,0.9552084,0.89358,0.7902872,0.64600617,0.5205838,0.4812457,0.4808126
0.5109941,0.56764835,0.61325985,0.64908135,0.66057307,0.67780215,0.7394092,0.7672592,0.7974493,0.8236186,0.8393454,0.85065264,0.91297656,0.9336113,0.8618913,0.7268713,0.59609616,0.5532593,0.5597543
0.44456163,0.49619532,0.53774977,0.5714315,0.58265245,0.5982571,0.6585262,0.68820244,0.7176817,0.7424778,0.75986844,0.7713543,0.83710194,0.8970723,0.894959,0.79407567,0.6712419,0.6179359,0.6312833
0.33698082,0.38288626,0.42439556,0.45264885,0.46198434,0.48395494,0.5181855,0.5450529,0.57287467,0.59867597,0.6152202,0.6294918,0.7032116,0.7814667,0.81284136,0.84017205,0.74819297,0.67819774,0.69665796
0.30010706,0.33797246,0.37169293,0.3919504,0.39947203,0.41697764,0.44501913,0.46878162,0.4898845,0.51327664,0.52564585,0.53679883,0.60599834,0.685525,0.73205227,0.79574496,0.81881124,0.7587737,0.77770483
0.31421486,0.34802198,0.37226707,0.38424036,0.38698998,0.40083274,0.4265241,0.45194447,0.47038865,0.49129942,0.50362366,0.5144429,0.5724679,0.64920664,0.70141816,0.76626813,0.8198965,0.8049698,0.81107146
0.2907622,0.32184035,0.3411003,0.3526518,0.3560942,0.37049618,0.40326315,0.42795405,0.4448905,0.46429318,0.4767857,0.48285133,0.5445976,0.6253303,0.68120736,0.74791247,0.7965771,0.7700332,0.8242239
