0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.8737614,0.74852693,0.59276706,0.5148307,0.43031758,0.40534437,0.3756576,0.3027144,0.26799634,0.24407104,0.22341111,0.20746,0.1895829,0.17097114
0.6294408,0.5879769,0.8767956,0.8482308,0.7471448,0.7208165,0.67680943,0.6115076,0.55359906,0.48838013,0.43267137,0.40944463,0.3914222,0.37289846
0.48686868,0.4509027,0.699758,0.80826706,0.854456,0.8518059,0.83948815,0.82528424,0.76631624,0.6788886,0.6091305,0.5784464,0.5542602,0.51776713
0.37484345,0.34588686,0.539604,0.63642204,0.7001652,0.7463341,0.8039889,0.8431687,0.8392703,0.8090374,0.7501772,0.7204066,0.68633187,0.6414885
0.3184997,0.2902574,0.43506297,0.5159761,0.5713584,0.62554413,0.6836941,0.7400666,0.7590891,0.77185833,0.7805017,0.8211365,0.8105134,0.78024507
0.27809784,0.251326,0.39158878,0.4719405,0.52599967,0.5722409,0.6199185,0.671483,0.6811227,0.69593805,0.72246087,0.77720094,0.7996001,0.81087565
