0,1,2,3,4,5,6
0.8957784,0.62270564,0.56194395,0.47283816,0.41544178,0.29127872,0.25644892
0.8081033,0.93528366,0.81679314,0.6582125,0.57438594,0.35455105,0.31864163
0.7788348,0.8650647,0.9210633,0.768595,0.6565606,0.4053355,0.37124205
0.66771036,0.7446346,0.8927419,0.8846276,0.7563461,0.48368067,0.45583272
0.5597572,0.6296984,0.79360455,0.86659515,0.8558564,0.6101931,0.58714825
0.42123115,0.4247009,0.54097563,0.6257474,0.75253505,0.7858564,0.776748
0.35113686,0.362885,0.49267492,0.5778079,0.6990459,0.76218164,0.807892
