0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.93951756,0.74757165,0.79358596,0.20716591,0.5982348,0.41875124,0.51301724,0.5685551,0.36170363,0.43162158,0.41218644,0.38127843,0.37813288,0.28451413,0.24103546,0.21534199
0.7588697,0.794071,0.8254869,0.34419483,0.6704097,0.57709396,0.60862964,0.61650634,0.41141942,0.5038965,0.46958917,0.4205355,0.4431143,0.31594765,0.27654,0.24253528
0.87332624,0.83432984,0.89082533,0.3765312,0.7531019,0.612744,0.67191553,0.72329205,0.46581796,0.5527074,0.5183407,0.48617148,0.4959643,0.3499074,0.30698544,0.28177238
0.5620779,0.7163673,0.705499,0.37385958,0.66356343,0.56620073,0.58835155,0.62269324,0.3738423,0.45903966,0.40916792,0.37233958,0.41731706,0.2649405,0.23559822,0.21379977
0.6099025,0.78023505,0.7963418,0.4123866,0.7453631,0.6281159,0.6499361,0.7060677,0.41585273,0.5086681,0.46916312,0.42059228,0.458334,0.28198415,0.24680434,0.22491112
0.52326316,0.67570215,0.7648931,0.73126966,0.88940233,0.8770047,0.8187288,0.86132383,0.66324794,0.7026371,0.64316493,0.58959246,0.66855234,0.39752892,0.36915383,0.34531352
0.60282403,0.6817261,0.7881207,0.6618259,0.8741978,0.8533275,0.8475584,0.84026104,0.6822416,0.74298936,0.6738347,0.6312979,0.70279276,0.4399286,0.40388542,0.38442802
0.5780501,0.7502046,0.7629109,0.3332539,0.68701565,0.565909,0.598497,0.64949393,0.3588225,0.4563058,0.4245194,0.37864447,0.40586603,0.24731635,0.21721953,0.19895035
0.41176793,0.5353934,0.61911017,0.61888087,0.7420135,0.80584145,0.7890623,0.69351214,0.7664615,0.76293015,0.7034836,0.6396944,0.7319085,0.47811753,0.44848317,0.4295468
0.45808682,0.53391707,0.64871114,0.66399765,0.7785006,0.8279853,0.83995163,0.7465865,0.78916866,0.82046926,0.75645685,0.7065949,0.80069274,0.5002855,0.4705154,0.4550158
0.41195297,0.47250968,0.57822025,0.6212167,0.7013067,0.7685767,0.78282267,0.67553794,0.79523313,0.82434666,0.79333115,0.73488224,0.8094121,0.548985,0.51296127,0.4904524
0.45829076,0.44869596,0.57081705,0.5278912,0.6549953,0.7209739,0.7750351,0.62707347,0.76595795,0.8231933,0.8106218,0.79790694,0.7924999,0.62883294,0.5910783,0.57265186
0.42844626,0.503294,0.62575877,0.6096779,0.73933667,0.7917752,0.8176062,0.72819036,0.7512961,0.7907461,0.7251781,0.6670657,0.7846979,0.46606228,0.44002348,0.43402442
0.4012,0.38114998,0.4906445,0.46674374,0.5594558,0.62752956,0.6837288,0.538828,0.7013391,0.7458766,0.770107,0.7815019,0.7188391,0.6898021,0.65250176,0.63202196
0.37654513,0.35529196,0.4621504,0.3971286,0.5050023,0.57693815,0.64142054,0.4792759,0.64386046,0.6764719,0.7001174,0.73423153,0.6529556,0.7026746,0.69102144,0.6889996
0.31011584,0.2824661,0.39408326,0.32276586,0.42702258,0.5045025,0.5703151,0.40341994,0.56498367,0.5940262,0.5985591,0.63802576,0.5909061,0.6359472,0.63957775,0.6878307
