0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.98691326,0.9406121,0.7417259,0.6956413,0.6719624,0.64524156,0.57976604,0.47040927,0.4149204,0.33380055,0.30328733,0.2766379,0.25210217,0.23782842
0.92411345,0.99649864,0.70598245,0.6311048,0.61035335,0.59767383,0.53290105,0.43383127,0.38144836,0.30951533,0.28488076,0.2665141,0.24922425,0.23666227
0.7604563,0.6953927,0.9905848,0.93587446,0.8447189,0.8106275,0.7139234,0.59338164,0.5063865,0.40345162,0.36766854,0.35467914,0.33585465,0.31976858
0.7164776,0.62751585,0.9354929,0.9960966,0.9222149,0.88047075,0.7867029,0.6659136,0.5700385,0.4486599,0.4100509,0.3993794,0.38306758,0.37092254
0.6967292,0.62768805,0.85369533,0.9331237,0.9811767,0.95343846,0.8625826,0.7549211,0.65335846,0.52855587,0.4895542,0.48438153,0.46628863,0.45348072
0.665893,0.6079762,0.8200644,0.889693,0.9517984,0.9836242,0.90903676,0.8073441,0.70696366,0.5786737,0.53653145,0.52860445,0.51028216,0.49151966
0.61476153,0.5601083,0.7531092,0.8235642,0.8656677,0.9305693,0.9553022,0.88105077,0.79471254,0.6595291,0.60098803,0.5908835,0.5731261,0.5478694
0.48704973,0.43776894,0.61060756,0.68769747,0.7648437,0.83562,0.9118319,0.95791054,0.90864193,0.8017157,0.72848314,0.6957808,0.6690234,0.63005847
0.38995278,0.35028782,0.49355873,0.55852383,0.6406353,0.7167271,0.8174477,0.90400994,0.92573667,0.8778853,0.7897504,0.7274793,0.69374466,0.6418254
0.34337878,0.3033497,0.42223084,0.47251284,0.54572636,0.61154073,0.7041323,0.8182561,0.8910342,0.9427947,0.85692906,0.7407366,0.6964765,0.6332752
0.26249358,0.23592903,0.33105487,0.3736021,0.4376802,0.49662927,0.58161855,0.68008655,0.7581754,0.82008517,0.8666364,0.8117083,0.7666864,0.68072116
0.26060623,0.24621613,0.34114608,0.38563895,0.45864132,0.5122327,0.59633845,0.67388785,0.7058465,0.72686356,0.8033903,0.8964642,0.89181715,0.8200653
0.2603362,0.24954453,0.34589392,0.39242318,0.47580963,0.52985734,0.6058018,0.67598754,0.6975033,0.70044,0.78172344,0.9279136,0.9747202,0.93626255
0.24741907,0.23895848,0.32857597,0.377677,0.46168193,0.51040155,0.57718277,0.6345166,0.6416905,0.6275774,0.7031123,0.8516663,0.93166727,0.97452444
