0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9678901,0.7074952,0.7822591,0.22365949,0.5088242,0.38506255,0.47424075,0.521936,0.37017962,0.3848846,0.35293508,0.33300298,0.34108564,0.30323547,0.32987818,0.31384096
0.5228355,0.68393815,0.65798885,0.33043304,0.48677167,0.4676457,0.4763025,0.4599017,0.36262575,0.36732987,0.373068,0.3266103,0.33207577,0.2853064,0.2882631,0.26638594
0.90083027,0.7993893,0.8780905,0.36729643,0.6359872,0.5423722,0.5987312,0.64712197,0.44651484,0.47812712,0.44576415,0.40707365,0.42073816,0.35565296,0.3757811,0.354535
0.23366033,0.47216976,0.56733876,0.84149975,0.7888204,0.7504461,0.6741508,0.7812591,0.54910356,0.51117903,0.4815008,0.42913297,0.46961227,0.31287065,0.29673308,0.26237845
0.58979005,0.68495953,0.7953733,0.80861145,0.88116044,0.8159086,0.7750849,0.88938034,0.60501975,0.59314936,0.55381525,0.49282283,0.54443586,0.38638255,0.38632286,0.35684162
0.513601,0.6540557,0.76238394,0.73964137,0.89015394,0.8766367,0.8426237,0.8588641,0.67492485,0.6868682,0.62112534,0.54919356,0.61373824,0.4448264,0.44043875,0.4170641
0.61894697,0.67558426,0.80966437,0.73956853,0.8971506,0.88834786,0.9040862,0.87706584,0.7654248,0.7607892,0.69509554,0.6116747,0.7286556,0.48092434,0.475784,0.45030326
0.48883823,0.6154819,0.72707576,0.8203336,0.8332519,0.7375424,0.6891566,0.8685842,0.5423298,0.5094172,0.47936988,0.4311557,0.48116276,0.3328564,0.3321552,0.30172217
0.31950173,0.46015382,0.55252963,0.70816153,0.75593686,0.81341445,0.81315744,0.7212473,0.82237834,0.789065,0.7351175,0.68492776,0.7994128,0.5052477,0.48982283,0.47699228
0.42377946,0.5244185,0.6537686,0.65800905,0.76897943,0.852874,0.898099,0.7228148,0.8726692,0.88403904,0.819844,0.73954916,0.8742165,0.5536422,0.5339299,0.52288544
0.32531777,0.47341284,0.5804435,0.6274493,0.71130526,0.8028718,0.8634412,0.65540004,0.8910776,0.8866295,0.85531044,0.7905696,0.8654775,0.58673525,0.551803,0.5284127
0.33522975,0.43564907,0.542393,0.5555351,0.64767843,0.70932996,0.79573655,0.6040288,0.82384616,0.8687166,0.8590931,0.84421575,0.8330239,0.6577051,0.62347645,0.61250424
0.45187393,0.51160944,0.6659083,0.635459,0.7583288,0.8049283,0.84448826,0.7358931,0.79724133,0.8293593,0.75589496,0.6823623,0.830281,0.51728547,0.5070407,0.5058942
0.28518096,0.3426884,0.40205532,0.38354596,0.44204587,0.4899133,0.55942893,0.39866975,0.61959815,0.66802454,0.72567725,0.7825377,0.6095327,0.7436695,0.73332155,0.71133476
0.31444642,0.35115606,0.41963074,0.36375695,0.44599602,0.4779839,0.54874426,0.40657002,0.5768536,0.6175012,0.6719223,0.72977686,0.5683568,0.7600976,0.7833621,0.7815579
0.2982055,0.32262915,0.39666653,0.3284163,0.4124677,0.44954827,0.5188583,0.37125373,0.54558593,0.5876756,0.6267534,0.68179804,0.55826277,0.71490604,0.7650325,0.81574255
