0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.9186116,0.86089104,0.8938838,0.89173067,0.36766705,0.5925614,0.52563673,0.56456697,0.5719581,0.43038598,0.46942475,0.4371367,0.40677613,0.4170449,0.3008184,0.25447536,0.23833759
0.8956266,0.8811091,0.91528267,0.8893574,0.38280445,0.61748636,0.55310285,0.58631235,0.59457856,0.43348214,0.47973657,0.4438632,0.4083449,0.4247238,0.3073935,0.26251984,0.24711703
0.8949662,0.8753625,0.9185879,0.89292675,0.39886758,0.6357458,0.57336086,0.6085095,0.6130658,0.45211527,0.50179434,0.46278927,0.426047,0.44935614,0.32288656,0.27658188,0.25862503
0.40752032,0.6291268,0.7830773,0.42714688,0.9042451,0.9730993,0.94207114,0.90202147,0.95140857,0.72350425,0.7231307,0.636556,0.56767,0.7151722,0.38346747,0.3243634,0.29131058
0.40405184,0.6243869,0.778624,0.42004916,0.9053663,0.97825557,0.94940054,0.91202015,0.95475775,0.72627395,0.7325305,0.6367294,0.57063663,0.72505623,0.38440958,0.3250573,0.29222274
0.37030956,0.59049726,0.7505288,0.3955571,0.9134251,0.97455174,0.957039,0.92599267,0.9484593,0.76258904,0.75833523,0.6653744,0.5989195,0.7555292,0.40883812,0.34631813,0.31144485
0.36600772,0.58241856,0.7452064,0.39343178,0.9101785,0.9739703,0.9576632,0.93207467,0.949003,0.76898366,0.7760403,0.6829272,0.6130347,0.7668989,0.42008567,0.35831085,0.32253122
0.4053345,0.6263337,0.7815777,0.42027408,0.90053296,0.97667736,0.9485474,0.91362065,0.95457023,0.72582024,0.7325247,0.63610053,0.5688675,0.72538596,0.38538435,0.32757688,0.29485655
0.36809212,0.4690549,0.60391164,0.40350887,0.6331949,0.7337976,0.79593664,0.852729,0.6729367,0.8976118,0.9419927,0.8849687,0.8281587,0.9010003,0.5975281,0.5283336,0.50242186
0.37914574,0.46252182,0.60227305,0.4122958,0.6357708,0.72872156,0.797621,0.8542338,0.6694901,0.9043144,0.9527569,0.89661837,0.83854425,0.91696405,0.6136802,0.5407875,0.51761967
0.36965355,0.4472804,0.58515763,0.40509564,0.62351304,0.7131016,0.78562695,0.84551346,0.64979106,0.90410817,0.94824415,0.9014051,0.84965235,0.91117233,0.63254166,0.5598374,0.5303009
0.3549643,0.4274847,0.5629195,0.3857754,0.6069092,0.695123,0.7658485,0.8265459,0.6375116,0.8919313,0.9417726,0.9013609,0.86415356,0.90708756,0.6601715,0.5930838,0.56605524
0.36607975,0.44775847,0.58798975,0.4069147,0.63332844,0.7207746,0.79195964,0.8504066,0.6638916,0.90290767,0.9497876,0.8943271,0.8358035,0.9200723,0.6121846,0.54106027,0.5198186
0.28532687,0.3135467,0.3650458,0.28707072,0.30488136,0.3914111,0.43146124,0.490375,0.35108122,0.55732167,0.62299436,0.69101244,0.7561225,0.55051845,0.81868184,0.8129034,0.8094658
0.2760915,0.30887836,0.3595183,0.2759047,0.3085538,0.39373115,0.43114012,0.489884,0.3540198,0.55315316,0.61826986,0.6809158,0.7431492,0.549534,0.82062685,0.83870566,0.8358903
0.26730242,0.2890593,0.34308466,0.26796582,0.2931671,0.3755106,0.41254047,0.47103906,0.33953667,0.52897877,0.59597623,0.6542942,0.7225179,0.53481436,0.7977953,0.83439755,0.8515964
