0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9895841,0.9707691,0.71954995,0.65155977,0.5867279,0.5763915,0.5470902,0.45878005,0.38890836,0.3163077,0.2741638,0.25945082,0.2520496,0.25134867
0.83799887,0.8136823,0.8448639,0.73107564,0.65053254,0.6291619,0.5890604,0.49274632,0.42463446,0.34982225,0.309783,0.2891204,0.2796934,0.27906057
0.71924853,0.70208436,0.97562784,0.90264666,0.80907035,0.7645987,0.69460785,0.6013063,0.5066979,0.41592053,0.36230248,0.34656888,0.3295704,0.32317826
0.6455954,0.62533337,0.9243039,0.9548045,0.87828857,0.83229387,0.76144487,0.6704494,0.5628281,0.45605418,0.3914286,0.37729803,0.3533344,0.33869275
0.6191853,0.5949812,0.9129212,0.9525448,0.9047977,0.8632757,0.78751194,0.7086675,0.59883684,0.48952428,0.4264839,0.40942925,0.38606185,0.3712631
0.554946,0.52524877,0.7879494,0.86081916,0.898956,0.89512926,0.8502503,0.79427946,0.6993768,0.58372,0.5226224,0.49314246,0.4693119,0.45287013
0.51658565,0.49567208,0.74090856,0.8091057,0.8301082,0.85641646,0.8498601,0.80615324,0.7314933,0.61735743,0.5517748,0.52624506,0.5028869,0.48306292
0.4941674,0.4725859,0.701349,0.7688741,0.8122192,0.84550697,0.8502718,0.8442287,0.7869596,0.69103277,0.6320907,0.6009043,0.5739671,0.54899734
0.4535323,0.43027633,0.65057755,0.72003466,0.7733409,0.80278116,0.8237718,0.83134615,0.80347794,0.73356235,0.6828924,0.63710886,0.6116608,0.5803725
0.30384988,0.2772535,0.44040123,0.5053433,0.5698447,0.6185223,0.68225425,0.7426571,0.78768533,0.7879374,0.7809379,0.71818435,0.69008297,0.64040256
0.25960755,0.2355484,0.38208377,0.4452746,0.5106759,0.55668867,0.62423366,0.69576174,0.75467193,0.7775017,0.7923758,0.72813493,0.7035199,0.6580749
0.32044202,0.3068213,0.44354177,0.50299937,0.5678278,0.6085384,0.6556733,0.7233368,0.7566195,0.7580705,0.7763703,0.7685424,0.7592509,0.73975223
0.32535324,0.31424862,0.43530905,0.48678064,0.546204,0.58835584,0.6369169,0.6981785,0.7271097,0.72508574,0.75423557,0.7797895,0.7804584,0.7685368
0.32622653,0.3183007,0.42452353,0.46833903,0.52050006,0.55967975,0.5942789,0.64641106,0.66254,0.65368617,0.67934877,0.7155712,0.7389111,0.7687523
