0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9813505,0.9798576,0.716309,0.6218677,0.5695831,0.5409357,0.48314154,0.40854213,0.35593152,0.31001875,0.2727481,0.2782644,0.28318375,0.28234836
0.97706366,0.988126,0.74225307,0.6441356,0.5894344,0.5590424,0.4975154,0.42322707,0.36677936,0.31957486,0.28201357,0.28924426,0.2951226,0.29609856
0.9795537,0.9852335,0.75635153,0.66307086,0.6059241,0.57519466,0.51048917,0.43359342,0.37459987,0.32255787,0.28361118,0.2910188,0.29720446,0.29917827
0.66839683,0.64778966,0.9717652,0.95724005,0.84693295,0.79554224,0.7120712,0.6004409,0.5061702,0.41701445,0.37526697,0.3986106,0.39535257,0.39229736
0.6746616,0.6530064,0.97034657,0.96589446,0.8670913,0.81814873,0.7337335,0.62120426,0.52044725,0.42750838,0.38276362,0.40530285,0.40058634,0.39760074
0.6792511,0.6620623,0.97003555,0.96734154,0.8760259,0.8302476,0.74632883,0.6348188,0.5362822,0.44394922,0.3982753,0.420305,0.41469267,0.4103084
0.5901313,0.57611036,0.80694157,0.8908222,0.9595088,0.93420655,0.84940064,0.7629979,0.6586563,0.5420029,0.47583023,0.48972222,0.478595,0.47259304
0.59832865,0.5746801,0.839089,0.9143126,0.9555132,0.91611254,0.82599896,0.72778225,0.6199628,0.50877696,0.4501236,0.46967265,0.46271777,0.4586262
0.502181,0.48933896,0.66485727,0.74216586,0.8300741,0.863313,0.889666,0.86281216,0.77823395,0.66347694,0.58219594,0.5835618,0.5676268,0.5531505
0.4987966,0.48688748,0.6714947,0.7493556,0.83906615,0.87472266,0.894319,0.87785363,0.7987147,0.68499726,0.6032896,0.59705144,0.58174413,0.5689551
0.4865229,0.4740736,0.6485394,0.7276281,0.8201427,0.8580545,0.8920333,0.8912012,0.8268773,0.7193599,0.63823295,0.63364595,0.6129641,0.5942292
0.33066902,0.32192177,0.43949217,0.5005157,0.58341736,0.6250422,0.6839599,0.76826036,0.7987478,0.81622314,0.79310244,0.7533091,0.70613784,0.6525702
0.37501964,0.3633967,0.5167333,0.58621913,0.67818063,0.7233494,0.77483785,0.8236764,0.8059048,0.7573481,0.69188404,0.6726249,0.6421643,0.60079944
0.32248393,0.31774834,0.44201595,0.49325553,0.5630016,0.58897144,0.64648366,0.714163,0.7386584,0.75664127,0.7710412,0.820237,0.81159765,0.7877707
0.30709416,0.30070794,0.4237783,0.47600123,0.5429374,0.56589925,0.62263083,0.6886072,0.7167186,0.7434043,0.7703836,0.8590543,0.87544197,0.8454001
0.30777395,0.30217654,0.41497305,0.46719375,0.53087693,0.55159795,0.60629666,0.6662575,0.6895055,0.71524704,0.7441927,0.8417119,0.8766564,0.86454684
