0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.90167,0.783581,0.48011786,0.4575151,0.50879085,0.47045648,0.44706184,0.35530958,0.31392115,0.29086787,0.26273367,0.24219942,0.25288945,0.2561079
0.9495731,0.94179475,0.5243401,0.48435998,0.540984,0.5182955,0.4805394,0.37689903,0.32997325,0.28859028,0.2587172,0.2404436,0.25614402,0.26553467
0.60949355,0.58178616,0.96274894,0.8978957,0.7949946,0.7332654,0.66360605,0.5495691,0.4761914,0.38350573,0.33934066,0.3444098,0.35852388,0.36451975
0.5879803,0.53582007,0.904802,0.92825496,0.8763274,0.81216,0.74772847,0.6399199,0.555345,0.46098164,0.40908477,0.40146753,0.40687147,0.4083599
0.56676143,0.49876925,0.77411646,0.8527708,0.90354466,0.8456177,0.7864282,0.69190043,0.6069925,0.5118407,0.46347395,0.44916546,0.45410356,0.4563703
0.54925996,0.45625216,0.5780786,0.6419047,0.7218167,0.6814811,0.63928455,0.563089,0.50104576,0.43027657,0.4165329,0.40419176,0.415256,0.41662017
0.52964824,0.4546475,0.6389321,0.72482944,0.81536967,0.79666734,0.7781092,0.7257317,0.6584066,0.569379,0.5352905,0.5061189,0.51468426,0.5174829
0.4445008,0.38795337,0.6145636,0.71274203,0.8102109,0.80058116,0.79362434,0.7866505,0.7254358,0.6320936,0.57293946,0.5408862,0.548817,0.558386
0.4200753,0.36196876,0.60659415,0.6889851,0.76951087,0.7655671,0.76281565,0.7750069,0.7353537,0.6588093,0.5996209,0.5619078,0.572808,0.58282536
0.38154185,0.32787573,0.53949785,0.611902,0.69121176,0.69871897,0.70794743,0.73881704,0.72654784,0.6784296,0.6316683,0.5874514,0.598579,0.6077967
0.36274326,0.31477767,0.49219263,0.56144947,0.64034075,0.65741414,0.67164236,0.7110512,0.7171593,0.6947743,0.6597921,0.6108653,0.6221471,0.6326281
0.33983874,0.29896912,0.46654457,0.5395403,0.61996555,0.6455662,0.67055446,0.70845973,0.71970075,0.7040649,0.69014144,0.6575979,0.6690847,0.6784682
0.32066113,0.27695748,0.44987896,0.5225532,0.60848135,0.6348531,0.66694427,0.7052344,0.7106029,0.6876527,0.69865227,0.70848,0.7229389,0.7297351
0.31310856,0.27963984,0.4139845,0.48983935,0.58119535,0.5998428,0.6112748,0.62098545,0.6020535,0.5636048,0.57808685,0.6124227,0.6480677,0.7079795
