0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.99796414,0.6764969,0.75319266,0.25331762,0.52169204,0.37607127,0.44855493,0.4787412,0.31583747,0.4056422,0.37521902,0.33671728,0.33195925,0.21304463,0.18796669,0.16468985
0.7556208,0.94862586,0.9496762,0.54404914,0.8107695,0.70698565,0.71870804,0.74788463,0.5164103,0.5914705,0.5759005,0.507228,0.5075793,0.3344196,0.2991776,0.25990745
0.76196456,0.9260155,0.96831304,0.55808103,0.8289957,0.7169418,0.7252728,0.7597573,0.5181824,0.6002185,0.58590895,0.5164861,0.51360244,0.33746758,0.3000474,0.26158383
0.28756028,0.48534724,0.60417634,0.98974705,0.8743945,0.8443095,0.75200206,0.87263244,0.63518393,0.62038493,0.59125245,0.5198609,0.6218542,0.322518,0.3049797,0.26830637
0.51299185,0.70665914,0.8432862,0.8512131,0.9800611,0.95439094,0.9247734,0.95199746,0.73862475,0.765011,0.7268155,0.6346753,0.7233983,0.39694282,0.36363903,0.32570696
0.5040942,0.68723524,0.8385565,0.84742993,0.97456235,0.95956695,0.9311805,0.9507807,0.75322974,0.7742937,0.7385455,0.6458438,0.73265857,0.4082671,0.37572595,0.33912006
0.5100739,0.6780641,0.83787084,0.84685427,0.9723334,0.95766103,0.93384457,0.9464814,0.7637254,0.7881698,0.75197643,0.6579811,0.7453226,0.41459677,0.37933552,0.34249747
0.52254725,0.69909465,0.8510716,0.841644,0.9801442,0.9501424,0.91986686,0.9544781,0.73210037,0.75762844,0.71790653,0.62777156,0.71800405,0.3902428,0.3575473,0.3204703
0.38608316,0.51612014,0.6149456,0.63711137,0.73459154,0.8001706,0.855897,0.69127357,0.90997493,0.9494919,0.89845127,0.8333793,0.9054034,0.5736826,0.5166861,0.47950223
0.42119437,0.550964,0.6499339,0.65046096,0.7600648,0.8155564,0.862411,0.7105394,0.90452254,0.9580363,0.9097625,0.8425227,0.9082942,0.5797388,0.51941115,0.4812175
0.3901932,0.52388835,0.61953753,0.6391106,0.73229647,0.7880519,0.8413395,0.6913033,0.8932005,0.94808793,0.9206685,0.86327225,0.90092474,0.60916233,0.545005,0.5022431
0.36163738,0.4985142,0.5842256,0.62251276,0.7032882,0.7598202,0.81160647,0.665337,0.8726511,0.93650067,0.91372985,0.87925184,0.8937614,0.64423805,0.5820492,0.53991455
0.40306634,0.53217906,0.631472,0.6468816,0.74726385,0.8084686,0.8566798,0.7027804,0.9025266,0.95553404,0.904892,0.8348157,0.9146961,0.57230556,0.51147157,0.47494885
0.23743364,0.34023184,0.35693657,0.3408851,0.40228593,0.44322288,0.48111644,0.36087143,0.54394186,0.600264,0.6936576,0.7604632,0.54102963,0.83770233,0.8392619,0.8172578
0.21785524,0.31324285,0.33001557,0.32323486,0.3807742,0.41960192,0.45679253,0.34096637,0.51255953,0.5655184,0.65250313,0.7235829,0.5112412,0.8252932,0.8543165,0.8349684
0.19886681,0.28569996,0.30749843,0.30822137,0.36120686,0.39993337,0.43568444,0.32702178,0.48893765,0.53830165,0.61964214,0.6902405,0.49409643,0.78648794,0.8434878,0.8524183
