0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9862201,0.6467378,0.7541879,0.21882215,0.51348096,0.43088982,0.5111332,0.47054437,0.36053914,0.43588555,0.41253865,0.38775146,0.392041,0.30566192,0.29271665,0.29046568
0.6905798,0.8900401,0.83179295,0.44623038,0.6777671,0.621861,0.6160908,0.6218611,0.45915836,0.50594455,0.5139919,0.4659071,0.41905445,0.36642528,0.33530772,0.3048429
0.7779254,0.8369686,0.9542828,0.48037308,0.76586276,0.7064589,0.75284356,0.7013307,0.530987,0.5852497,0.57675976,0.5172338,0.5010646,0.38569534,0.35520262,0.33669555
0.2996369,0.6521056,0.6842562,0.84477574,0.82679534,0.77725273,0.6672074,0.8089065,0.4963528,0.5093974,0.50458455,0.4660545,0.4161888,0.34915385,0.2982047,0.24997802
0.6105073,0.7614038,0.9044456,0.7903135,0.94281584,0.8940479,0.8684858,0.9145909,0.6335155,0.66187954,0.6351001,0.5755509,0.58412653,0.42139807,0.37596762,0.34890538
0.4504183,0.6671969,0.7807863,0.81181175,0.93248576,0.94989985,0.8962342,0.88904464,0.7127877,0.71302474,0.6967231,0.63050234,0.6616304,0.48280597,0.4266092,0.3990092
0.5441095,0.6093687,0.76712316,0.70112973,0.87669694,0.9169738,0.94839555,0.82327163,0.78821623,0.82209206,0.77870435,0.707057,0.77843,0.53783375,0.47913072,0.45422366
0.6550947,0.70372623,0.87132514,0.6964594,0.85118526,0.7994062,0.8222472,0.84337,0.58729565,0.6259419,0.58915687,0.5253939,0.56702286,0.38667336,0.3566537,0.34352934
0.3931184,0.44935772,0.5686525,0.59167707,0.7125857,0.8005535,0.8507514,0.66150254,0.84565413,0.8330912,0.7850291,0.7469431,0.80120146,0.5631025,0.5157618,0.48930982
0.46163306,0.5369267,0.6562199,0.57207656,0.7368507,0.8219217,0.8774674,0.6630392,0.85915136,0.9159655,0.8766322,0.82113016,0.85915875,0.589778,0.5373983,0.5094831
0.4397483,0.5307487,0.61519957,0.52103144,0.67243856,0.7532213,0.8034986,0.5937702,0.831657,0.90979606,0.91944796,0.87702054,0.8310975,0.6578044,0.5980701,0.5587722
0.39884543,0.48620516,0.5615391,0.47725737,0.60928524,0.66766435,0.74209386,0.53870976,0.78017086,0.85381174,0.880891,0.89164305,0.77826756,0.71821576,0.6680231,0.6262352
0.40135118,0.48647365,0.60387814,0.559819,0.7059102,0.78407407,0.83351845,0.65420413,0.8166878,0.86538655,0.80844325,0.75802195,0.8662713,0.55823547,0.50546366,0.49317613
0.35884386,0.3958377,0.46118984,0.384452,0.49638033,0.5455624,0.60598433,0.4439933,0.63123757,0.69840676,0.76220685,0.8105784,0.63811743,0.8445443,0.81990343,0.7697885
0.30826122,0.34579116,0.39307407,0.31475103,0.42037436,0.4721883,0.52961516,0.37198973,0.5669361,0.62245965,0.68712604,0.7414068,0.5703644,0.8410602,0.87274486,0.8421256
0.29334575,0.30560955,0.35783067,0.26596016,0.37602642,0.42838192,0.48920345,0.33847722,0.51246214,0.5700218,0.6272881,0.6774076,0.538952,0.77786905,0.8462348,0.88856655
